caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,8,1,210.9,39300
05-worker-leitura-suja,8,1,211.04,39400
05-worker-leitura-suja,8,1,211.91,39300
05-worker-leitura-suja,8,1,212.8,39200
05-worker-leitura-suja,8,1,214.93,39300
05-worker-leitura-suja,8,1,215.26,39500
05-worker-leitura-suja,8,1,216,39400
05-worker-leitura-suja,8,1,216.42,39200
05-worker-leitura-suja,8,1,216.93,39300
05-worker-leitura-suja,8,1,217.52,39200
05-worker-leitura-suja,8,1,221.81,39300
05-worker-leitura-suja,8,1,229.09,39400
05-worker-leitura-suja,8,1,229.26,39600
05-worker-leitura-suja,8,1,233.12,39700
05-worker-leitura-suja,8,1,233.33,39900
05-worker-leitura-suja,8,1,234.54,40000
05-worker-leitura-suja,8,1,237.39,40000
05-worker-leitura-suja,10,1,3.26,40000
05-worker-leitura-suja,10,1,133.3,39900
05-worker-leitura-suja,10,1,150.04,39800
05-worker-leitura-suja,10,1,154.88,39900
05-worker-leitura-suja,10,1,157.38,39800
05-worker-leitura-suja,10,1,175.43,39900
05-worker-leitura-suja,10,1,177.28,39800
05-worker-leitura-suja,10,1,186.85,39900
05-worker-leitura-suja,10,1,187.84,39800
05-worker-leitura-suja,10,1,189.24,39700
05-worker-leitura-suja,10,1,190.33,39600
05-worker-leitura-suja,10,1,194.03,39700
05-worker-leitura-suja,10,1,195.04,39600
05-worker-leitura-suja,10,1,195.65,39500
05-worker-leitura-suja,10,1,195.89,39400
05-worker-leitura-suja,10,1,198.79,39300
05-worker-leitura-suja,10,1,204.14,39200
05-worker-leitura-suja,10,1,209.58,39300
05-worker-leitura-suja,10,1,210.25,39200
05-worker-leitura-suja,10,1,214.09,39300
05-worker-leitura-suja,10,1,217.94,39400
05-worker-leitura-suja,10,1,219.56,39300
05-worker-leitura-suja,10,1,219.86,39400
05-worker-leitura-suja,10,1,220.89,39500
05-worker-leitura-suja,10,1,222.71,39600
05-worker-leitura-suja,10,1,223.17,39500
05-worker-leitura-suja,10,1,223.55,39400
05-worker-leitura-suja,10,1,224.34,39300
05-worker-leitura-suja,10,1,224.64,39100
05-worker-leitura-suja,10,1,225.41,39200
05-worker-leitura-suja,10,1,226.35,39100
05-worker-leitura-suja,10,1,231.83,39200
05-worker-leitura-suja,10,1,232.61,39100
05-worker-leitura-suja,10,1,239.84,39200
05-worker-leitura-suja,10,1,240.16,39300
05-worker-leitura-suja,10,1,241.34,39200
05-worker-leitura-suja,10,1,242.34,39300
05-worker-leitura-suja,10,1,242.52,39400
05-worker-leitura-suja,10,1,242.78,39600
05-worker-leitura-suja,10,1,244.12,39400
05-worker-leitura-suja,10,1,244.45,39200
